name,calories,protein,fat,sodium
100% Bran,70,4,1,130
100% Natural Bran,120,3,5,15
All-Bran,70,4,1,260
All-Bran with Extra Fiber,50,4,0,140
Almond Delight,110,2,2,200
Apple Cinnamon Cheerios,110,2,2,180
Apple Jacks,110,2,0,125
Basic 4,130,3,2,210
Bran Chex,90,2,1,200
Bran Flakes,90,3,0,210
Cap'n'Crunch,120,1,2,220
Cheerios,110,6,2,290
Cinnamon Toast Crunch,120,1,3,210
Clusters,110,3,2,140
Cocoa Puffs,110,1,1,180
Corn Chex,110,2,0,280
Corn Flakes,100,2,0,290
Corn Pops,110,1,0,90
Count Chocula,110,1,1,180
Cracklin' Oat Bran,110,3,3,140
Cream of Wheat (Quick),100,3,0,80
Crispix,110,2,0,220
Crispy Wheat & Raisins,100,2,1,140
Double Chex,100,2,0,190
Froot Loops,110,2,1,125
Frosted Flakes,110,1,0,200
Frosted Mini-Wheats,100,3,0,0
"Fruit & Fibre Dates, Walnuts, and Oats",120,3,2,160
Fruitful Bran,120,3,0,240
Fruity Pebbles,110,1,1,135
Golden Crisp,100,2,0,45
Golden Grahams,110,1,1,280
Grape Nuts Flakes,100,3,1,140
Grape-Nuts,110,3,0,170
Great Grains Pecan,120,3,3,75
Honey Graham Ohs,120,1,2,220
Honey Nut Cheerios,110,3,1,250
Honey-comb,110,1,0,180
Just Right Crunchy  Nuggets,110,2,1,170
Just Right Fruit & Nut,140,3,1,170
Kix,110,2,1,260
Life,100,4,2,150
Lucky Charms,110,2,1,180
Maypo,100,4,1,0
"Muesli Raisins, Dates, & Almonds",150,4,3,95
"Muesli Raisins, Peaches, & Pecans",150,4,3,150
Mueslix Crispy Blend,160,3,2,150
Multi-Grain Cheerios,100,2,1,220
Nut&Honey Crunch,120,2,1,190
Nutri-Grain Almond-Raisin,140,3,2,220
Nutri-grain Wheat,90,3,0,170
Oatmeal Raisin Crisp,130,3,2,170
Post Nat. Raisin Bran,120,3,1,200
Product 19,100,3,0,320
Puffed Rice,50,1,0,0
Puffed Wheat,50,2,0,0
Quaker Oat Squares,100,4,1,135
Quaker Oatmeal,100,5,2,0
Raisin Bran,120,3,1,210
Raisin Nut Bran,100,3,2,140
Raisin Squares,90,2,0,0
Rice Chex,110,1,0,240
Rice Krispies,110,2,0,290
Shredded Wheat,80,2,0,0
Shredded Wheat 'n'Bran,90,3,0,0
Shredded Wheat spoon size,90,3,0,0
Smacks,110,2,1,70
Special K,110,6,0,230
Strawberry Fruit Wheats,90,2,0,15
Total Corn Flakes,110,2,1,200
Total Raisin Bran,140,3,1,190
Total Whole Grain,100,3,1,200
Triples,110,2,1,250
Trix,110,1,1,140
Wheat Chex,100,3,1,230
Wheaties,100,3,1,200
Wheaties Honey Gold,110,2,1,200
